Nome,Tipo,Área m2,Preço R$,quartos,suites,vagas
"SGCV Lote 27, PARK SUL, BRASILIA",Aluguel Apartamento 128 m²,128 m²,"R$  9.800
Valor m² R$  76",4,4,2
"CLN 309 Bloco C, ASA NORTE, BRASILIA",Aluguel Sala 27 m²,27 m²,"R$  1.000
Valor m² R$  37",0,0,0
"SQNW 103 Bloco G, NOROESTE, BRASILIA",Aluguel Apartamento 137 m²,137 m²,"R$  10.500
Valor m² R$  76",3,3,2
"SHTN, ASA NORTE, BRASILIA",Aluguel Hotel Flat 70 m²,70 m²,"R$  7.000
Valor m² R$  100",0,1,0
"SQNW 302 Bloco E, NOROESTE, BRASILIA",Aluguel Apartamento 110 m²,110 m²,"R$  9.900
Valor m² R$  90",3,1,2
"SEPS 712/912, ASA SUL, BRASILIA",Aluguel Kitnet 25 m²,25 m²,"R$  1.700
Valor m² R$  68",0,0,0
"QMSW 2, SUDOESTE, BRASILIA",Aluguel Loja 560 m²,560 m²,"R$  13.500
Valor m² R$  24",0,0,0
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",Aluguel Sala 33 m²,33 m²,"R$  659
Valor m² R$  19",0,0,0
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 348 m²,348 m²,"R$  18.650
Valor m² R$  53",0,0,7
"CRNW 511 Bloco A Lote 1, NOROESTE, BRASILIA",Aluguel Loja 57 m²,57 m²,"R$  10.989
Valor m² R$  192",0,0,0
"SHLN Bloco K, ASA NORTE, BRASILIA",Aluguel Sala 32 m²,32 m²,"R$  1.350
Valor m² R$  42",0,0,0
"SRTVN Bloco C Conjunto, ASA NORTE, BRASILIA",Aluguel Sala 32 m²,32 m²,"R$  650
Valor m² R$  20",0,0,0
"SCRN 716 Bloco A, ASA NORTE, BRASILIA",Aluguel Apartamento 40 m²,40 m²,"R$  1.600
Valor m² R$  40",0,0,0
"CLN 309 Bloco C, ASA NORTE, BRASILIA",Aluguel Sala 73 m²,73 m²,"R$  1.800
Valor m² R$  24",0,0,0
"SEPS 713/913, ASA SUL, BRASILIA",Aluguel Kitnet 26 m²,26 m²,"R$  1.700
Valor m² R$  65",0,0,0
"SGAN 915 Módulo F, ASA NORTE, BRASILIA",Aluguel Apartamento 30 m²,30 m²,"R$  2.200
Valor m² R$  73",0,1,0
"STN, ASA NORTE, BRASILIA",Aluguel Sala 48 m²,48 m²,"R$  1.400
Valor m² R$  29",0,0,0
"SEPS 705/905, ASA SUL, BRASILIA",Aluguel Sala 23 m²,23 m²,"R$  835
Valor m² R$  36",0,0,0
"EQS 414/415, ASA SUL, BRASILIA",Aluguel Galpão 6000 m²,6000 m²,"R$  150.000
Valor m² R$  25",0,0,40
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 35 m²,35 m²,"R$  3.522
Valor m² R$  100",0,0,0
"CRS 513, ASA SUL, BRASILIA",Aluguel Sala 15 m²,15 m²,"R$  600
Valor m² R$  40",0,0,0
"SQN 111, ASA NORTE, BRASILIA",Aluguel Apartamento 98 m²,98 m²,"R$  7.500
Valor m² R$  76",3,1,0
"SQN 316 Bloco F, ASA NORTE, BRASILIA",Aluguel Apartamento 128 m²,128 m²,"R$  5.800
Valor m² R$  45",3,1,0
"SQN 215, ASA NORTE, BRASILIA",Aluguel Apartamento 162 m²,162 m²,"R$  12.000
Valor m² R$  74",4,2,3
"SCS Quadra 9, ASA SUL, BRASILIA",Aluguel Sala 398 m²,398 m²,"R$  41.802
Valor m² R$  105",0,0,13
"SHIS QI 28 Conjunto 10, LAGO SUL, BRASILIA",Aluguel Casa Condominio 620 m²,620 m²,"R$  20.000
Valor m² R$  32",5,5,0
"SHTN Trecho 2, ASA NORTE, BRASILIA",Aluguel Apartamento 51 m²,51 m²,"R$  3.233
Valor m² R$  63",0,0,0
"SCRN 708/709 Bloco B, ASA NORTE, BRASILIA",Aluguel Loja 1000 m²,1000 m²,"R$  27.000
Valor m² R$  27",0,0,0
"SRTVN Quadra 701 Conjunto C, ASA NORTE, BRASILIA",Aluguel Sala 38 m²,38 m²,"R$  1.000
Valor m² R$  26",0,0,0
"SAUS Quadra 04 Lote 9/10, ASA SUL, BRASILIA",Aluguel Sala 27 m²,27 m²,"R$  1.500
Valor m² R$  55",0,0,2
"SCS Quadra 9, ASA SUL, BRASILIA",Aluguel Loja 246 m²,246 m²,"R$  92.000
Valor m² R$  373",0,0,0
"SGCV, PARK SUL, BRASILIA",Aluguel Apartamento 60 m²,60 m²,"R$  4.050
Valor m² R$  67",0,1,2
"SHTN, ASA NORTE, BRASILIA",Aluguel Apartamento 53 m²,53 m²,"R$  3.900
Valor m² R$  73",0,0,0
"Aeroporto Juscelino Kubitscheck, LAGO SUL, BRASILIA",Aluguel Galpão 4761 m²,4761 m²,"R$  133.327
Valor m² R$  28",0,0,0
"SCS Quadra 01 Bloco B Lote 16/18, ASA SUL, BRASILIA",Aluguel Sala 25 m²,25 m²,"R$  650
Valor m² R$  26",0,0,0
"CLN 201, ASA NORTE, BRASILIA",Aluguel Sala 56 m²,56 m²,"R$  2.500
Valor m² R$  44",0,0,0
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 642 m²,642 m²,"R$  40.000
Valor m² R$  62",0,0,6
"SHIS QI 23 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 580 m²,580 m²,"R$  23.000
Valor m² R$  39",4,2,12
"SGAN 915 Módulo G, ASA NORTE, BRASILIA",Aluguel Sala 504 m²,504 m²,"R$  35.000
Valor m² R$  69",0,0,0
"SHIS QL 24 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 645 m²,645 m²,"R$  18.000
Valor m² R$  27",4,1,5
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  850
Valor m² R$  25",0,0,0
"SHIS QI 25 Bloco D, LAGO SUL, BRASILIA",Aluguel Loja 74 m²,74 m²,"R$  10.300
Valor m² R$  138",0,0,0
"SIG Quadra 3 Bloco C, SIG, BRASILIA",Aluguel Sala 78 m²,78 m²,"R$  3.099
Valor m² R$  39",0,0,0
"SHDB QL 32 Conjunto 1, LAGO SUL, BRASILIA",Aluguel Apartamento 120 m²,120 m²,"R$  4.700
Valor m² R$  39",3,2,2
"SQS 409 Bloco L, ASA SUL, BRASILIA",Aluguel Apartamento 55 m²,55 m²,"R$  2.700
Valor m² R$  49",2,1,0
"SBN Quadra 2, ASA NORTE, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  450
Valor m² R$  37",0,0,0
"SCS Quadra 2, ASA SUL, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  150
Valor m² R$  12",0,0,0
"SHN Quadra 1 Bloco A, ASA NORTE, BRASILIA",Aluguel Sala 48 m²,48 m²,"R$  2.000
Valor m² R$  41",0,0,0
"SCS Quadra 1, ASA SUL, BRASILIA",Aluguel Sala 70 m²,70 m²,"R$  600
Valor m² R$  8",0,0,0
"SCS Quadra 07 Bloco A, ASA SUL, BRASILIA",Aluguel Sala 110 m²,110 m²,"R$  5.000
Valor m² R$  45",0,0,0
"SHIS QI 19, LAGO SUL, BRASILIA",Aluguel Casa 700 m²,700 m²,"R$  21.000
Valor m² R$  30",6,4,7
"SIG Quadra 1, SIG, BRASILIA",Aluguel Loja 36 m²,36 m²,"R$  1.800
Valor m² R$  50",0,0,0
"CLNW 10/11 Lote A, NOROESTE, BRASILIA",Aluguel Loja 70 m²,70 m²,"R$  6.800
Valor m² R$  97",0,0,0
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  3.726
Valor m² R$  109",0,0,0
"SCN Quadra 01 Bloco F, ASA NORTE, BRASILIA",Aluguel Sala 66 m²,66 m²,"R$  3.300
Valor m² R$  49",0,0,2
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",Aluguel Sala 35 m²,35 m²,"R$  1.100
Valor m² R$  31",0,0,0
"SIG Quadra 6, SIG, BRASILIA",Aluguel Loja 181 m²,181 m²,"R$  8.000
Valor m² R$  44",0,0,0
"QC 10, JARDINS MANGUEIRAL, BRASILIA",Aluguel Apartamento 43 m²,43 m²,"R$  2.750
Valor m² R$  63",2,0,0
"SRTVN, ASA NORTE, BRASILIA",Aluguel Sala 32 m²,32 m²,"R$  650
Valor m² R$  20",0,0,0
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 348 m²,348 m²,"R$  19.000
Valor m² R$  54",0,0,7
"SQS 103 Bloco K, ASA SUL, BRASILIA",Aluguel Apartamento 70 m²,70 m²,"R$  4.600
Valor m² R$  65",2,1,0
"SDS Bloco H, ASA SUL, BRASILIA",Aluguel Sala 30 m²,30 m²,"R$  400
Valor m² R$  13",0,0,0
"SIG Quadra 3 Bloco C, SIG, BRASILIA",Aluguel Loja 400 m²,400 m²,"R$  18.500
Valor m² R$  46",0,0,0
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 779 m²,779 m²,"R$  38.700
Valor m² R$  49",0,0,14
"CLN 202 Bloco D, ASA NORTE, BRASILIA",Aluguel Loja 190 m²,190 m²,"R$  8.000
Valor m² R$  42",0,0,0
"SCS Quadra 2, ASA SUL, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  150
Valor m² R$  12",0,0,0
"SQS 113 Bloco D, ASA SUL, BRASILIA",Aluguel Apartamento 87 m²,87 m²,"R$  4.800
Valor m² R$  55",2,0,0
"SRTVS Conjunto D Blocos A, B E C Lote 05, ASA SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  750
Valor m² R$  22",0,0,0
"Condomínio Mirante das Paineiras, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 160 m²,160 m²,"R$  4.900
Valor m² R$  30",3,2,0
"SQS 314 Bloco H, ASA SUL, BRASILIA",Aluguel Apartamento 232 m²,232 m²,"R$  14.800
Valor m² R$  63",4,1,2
"SHIN Área Especial 3, LAGO NORTE, BRASILIA",Aluguel Loja 24 m²,24 m²,"R$  2.000
Valor m² R$  83",0,0,0
"SEPS 705/905, ASA SUL, BRASILIA",Aluguel Sala 25 m²,25 m²,"R$  800
Valor m² R$  32",0,0,0
"SDS BLOCO Q, ASA SUL, BRASILIA",Aluguel Sala 32 m²,32 m²,"R$  400
Valor m² R$  12",0,0,0
"SCS Quadra 03 Bloco A ENTRADA A/B Lote 40, ASA SUL, BRASILIA",Aluguel Ponto Comercial 250 m²,250 m²,"R$  6.500
Valor m² R$  26",0,0,0
"SHN Quadra 05 Bloco G, ASA NORTE, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  250
Valor m² R$  20",0,0,0
"Condomínio Residencial Monaco, JARDIM BOTANICO, BRASILIA",Aluguel Casa 483 m²,483 m²,"R$  8.000
Valor m² R$  16",3,1,3
"SCRN 706/707 Bloco H, ASA NORTE, BRASILIA",Aluguel Apartamento 73 m²,73 m²,"R$  3.800
Valor m² R$  52",3,2,0
"SHIS QI 23 Bloco B, LAGO SUL, BRASILIA",Aluguel Sala 69 m²,69 m²,"R$  3.600
Valor m² R$  52",0,0,0
"Chacará S ITAIPU, JARDIM BOTANICO, BRASILIA",Aluguel Prédio 1000 m²,1000 m²,"R$  20.000
Valor m² R$  20",0,0,0
"Condomínio Residencial Monaco, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 500 m²,500 m²,"R$  8.000
Valor m² R$  16",3,3,3
"SHCGN 710 Bloco O, ASA NORTE, BRASILIA",Aluguel Apartamento 121 m²,121 m²,"R$  4.300
Valor m² R$  35",3,1,0
"QMSW 6, SUDOESTE, BRASILIA",Aluguel Loja 12 m²,12 m²,"R$  170
Valor m² R$  14",0,0,0
"SHIS QI 9, LAGO SUL, BRASILIA",Aluguel Casa 700 m²,700 m²,"R$  28.000
Valor m² R$  40",6,6,4
"QMSW 4, SUDOESTE, BRASILIA",Aluguel Kitnet 25 m²,25 m²,"R$  1.700
Valor m² R$  68",0,1,0
"EQN 502/503, ASA NORTE, BRASILIA",Aluguel Loja 1500 m²,1500 m²,"R$  225.000
Valor m² R$  150",0,0,0
"SRTVS, ASA SUL, BRASILIA",Aluguel Sala 68 m²,68 m²,"R$  2.400
Valor m² R$  35",0,0,0
"SQS 307 Bloco H, ASA SUL, BRASILIA",Aluguel Apartamento 120 m²,120 m²,"R$  8.500
Valor m² R$  70",4,1,0
"SHLS Bloco L, ASA SUL, BRASILIA",Aluguel Sala 39 m²,39 m²,"R$  2.000
Valor m² R$  51",0,0,0
"SHN Quadra 02 Bloco J, ASA NORTE, BRASILIA",Aluguel Hotel Flat 35 m²,35 m²,"R$  4.400
Valor m² R$  125",0,1,0
"Condomínio Estancia Quintas da Alvorada, JARDIM BOTANICO, BRASILIA",Aluguel Casa Condominio 250 m²,250 m²,"R$  8.500
Valor m² R$  34",3,3,2
"SEPN 514 Bloco D, ASA NORTE, BRASILIA",Aluguel Loja 11365 m²,11365 m²,"R$  690.000
Valor m² R$  60",0,0,0
"SHIS QI 19 Bloco C, LAGO SUL, BRASILIA",Aluguel Loja 183 m²,183 m²,"R$  12.000
Valor m² R$  65",0,0,0
"SCN Quadra 1, ASA NORTE, BRASILIA",Aluguel Sala 46 m²,46 m²,"R$  3.236
Valor m² R$  70",0,0,0
"CLN 215 Bloco B, ASA NORTE, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  1.200
Valor m² R$  35",0,0,0
"SDS Bloco O, ASA SUL, BRASILIA",Aluguel Sala 45 m²,45 m²,"R$  650
Valor m² R$  14",0,0,0
"SGAS 915, ASA SUL, BRASILIA",Aluguel Sala 43 m²,43 m²,"R$  1.400
Valor m² R$  32",0,0,0
"CLN 313 Bloco B, ASA NORTE, BRASILIA",Aluguel Loja 28 m²,28 m²,"R$  1.000
Valor m² R$  35",0,0,0
"SAUS Quadra 05 Blocos K Lote 04, ASA SUL, BRASILIA",Aluguel Sala 23 m²,23 m²,"R$  468
Valor m² R$  20",0,0,0
"SCS Quadra 1, ASA SUL, BRASILIA",Aluguel Loja 60 m²,60 m²,"R$  2.000
Valor m² R$  33",0,0,0
"SEPN 513 Bloco D, ASA NORTE, BRASILIA",Aluguel Sala 117 m²,117 m²,"R$  5.600
Valor m² R$  47",0,0,0
"SGCV Lote 10, PARK SUL, BRASILIA",Aluguel Apartamento 51 m²,51 m²,"R$  4.500
Valor m² R$  88",0,0,0
"SHCGN 709 Bloco C, ASA NORTE, BRASILIA",Aluguel Casa 257 m²,257 m²,"R$  4.800
Valor m² R$  18",6,1,3
"CLNW 10/11, NOROESTE, BRASILIA",Aluguel Kitnet 31 m²,31 m²,"R$  2.350
Valor m² R$  75",0,1,0
"SQN 212 Bloco C, ASA NORTE, BRASILIA",Aluguel Apartamento 78 m²,78 m²,"R$  5.050
Valor m² R$  64",2,1,0
"SCS Quadra 1, ASA SUL, BRASILIA",Aluguel Sala 39 m²,39 m²,"R$  900
Valor m² R$  23",0,0,0
"SCS Quadra 1, ASA SUL, BRASILIA",Aluguel Sala 40 m²,40 m²,"R$  1.200
Valor m² R$  30",0,0,0
"SCN Quadra 1, ASA NORTE, BRASILIA",Aluguel Sala 36 m²,36 m²,"R$  1.200
Valor m² R$  33",0,0,0
"SHIS QI 9 Conjunto 18, LAGO SUL, BRASILIA",Aluguel Casa 590 m²,590 m²,"R$  22.900
Valor m² R$  38",5,3,6
"SHIS QI 5 Chacarás 13 a 20, LAGO SUL, BRASILIA",Aluguel Casa 600 m²,600 m²,"R$  15.000
Valor m² R$  25",4,4,2
"SCRN 712/713 Bloco C, ASA NORTE, BRASILIA",Aluguel Apartamento 35 m²,35 m²,"R$  2.200
Valor m² R$  62",0,0,0
"SHIS QI 23 Bloco B, LAGO SUL, BRASILIA",Aluguel Sala 34 m²,34 m²,"R$  1.800
Valor m² R$  52",0,0,0
"SHIS QI 23 Conjunto 3, LAGO SUL, BRASILIA",Aluguel Casa 580 m²,580 m²,"R$  22.000
Valor m² R$  37",4,2,4
"SIG Quadra 6, SIG, BRASILIA",Aluguel Galpão 200 m²,200 m²,"R$  4.899
Valor m² R$  24",0,0,0
"SQSW 303 Bloco B, SUDOESTE, BRASILIA",Aluguel Apartamento 70 m²,70 m²,"R$  4.750
Valor m² R$  67",2,1,0
"CLNW 10/11 Lote K, NOROESTE, BRASILIA",Aluguel Apartamento 37 m²,37 m²,"R$  2.800
Valor m² R$  74",0,1,0
"SQNW 307 Bloco I, NOROESTE, BRASILIA",Aluguel Apartamento 84 m²,84 m²,"R$  6.000
Valor m² R$  71",2,1,2
"SQS 212, ASA SUL, BRASILIA",Aluguel Apartamento 160 m²,160 m²,"R$  12.000
Valor m² R$  75",4,2,2
"SGCV Lote 13, PARK SUL, BRASILIA",Aluguel Apartamento 55 m²,55 m²,"R$  3.900
Valor m² R$  70",2,2,0
"CCSW 1, SUDOESTE, BRASILIA",Aluguel Kitnet 27 m²,27 m²,"R$  3.300
Valor m² R$  122",0,1,0
"SHN Quadra 1 Bloco D, ASA NORTE, BRASILIA",Aluguel Sala 36 m²,36 m²,"R$  1.550
Valor m² R$  43",0,0,0
"SQS 103 Bloco E, ASA SUL, BRASILIA",Aluguel Apartamento 33 m²,33 m²,"R$  3.500
Valor m² R$  106",0,1,0
"SHIS QI 28, LAGO SUL, BRASILIA",Aluguel Casa 359 m²,359 m²,"R$  8.800
Valor m² R$  24",4,2,3
"SEPS 712/912, ASA SUL, BRASILIA",Aluguel Kitnet 25 m²,25 m²,"R$  1.700
Valor m² R$  68",0,0,0
"SCS Quadra 9, ASA SUL, BRASILIA",Aluguel Loja 133 m²,133 m²,"R$  53.800
Valor m² R$  403",0,0,0
"SRTVS, ASA SUL, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  158
Valor m² R$  13",0,0,0
"SHIN QI 10 Conjunto 10, LAGO NORTE, BRASILIA",Aluguel Casa 580 m²,580 m²,"R$  16.500
Valor m² R$  28",7,3,5
"SHLS, ASA SUL, BRASILIA",Aluguel Loja 135 m²,135 m²,"R$  7.500
Valor m² R$  55",0,0,0
"QMSW 2, SUDOESTE, BRASILIA",Aluguel Loja 200 m²,200 m²,"R$  14.500
Valor m² R$  72",0,0,2
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",Aluguel Sala 79 m²,79 m²,"R$  1.800
Valor m² R$  22",0,0,0
"CLN 307 Bloco A, ASA NORTE, BRASILIA",Aluguel Apartamento 48 m²,48 m²,"R$  1.100
Valor m² R$  22",0,0,0
"EQN 502/503, ASA NORTE, BRASILIA",Aluguel Loja 1400 m²,1400 m²,"R$  210.000
Valor m² R$  150",0,0,0
"SCS Quadra 2, ASA SUL, BRASILIA",Aluguel Garagem 12 m²,12 m²,"R$  150
Valor m² R$  12",0,0,0
"SCS Quadra 03 Bloco A LOJA 01, ASA SUL, BRASILIA",Aluguel Prédio 5296 m²,5296 m²,"R$  160.000
Valor m² R$  30",0,0,30
"SHS Quadra 02 Bloco J, ASA SUL, BRASILIA",Aluguel Apartamento 48 m²,48 m²,"R$  2.900
Valor m² R$  60",0,1,0
"CLS 213 Bloco B, ASA SUL, BRASILIA",Aluguel Loja 105 m²,105 m²,"R$  6.500
Valor m² R$  61",0,0,0
"CRNW 510 Bloco A Lote 1, NOROESTE, BRASILIA",Aluguel Loja 75 m²,75 m²,"R$  6.100
Valor m² R$  80",0,0,2
"CLS 315 Bloco D, ASA SUL, BRASILIA",Aluguel Loja 105 m²,105 m²,"R$  5.500
Valor m² R$  52",0,0,0
"Quadra 2, TAQUARI, BRASILIA",Aluguel Casa 140 m²,140 m²,"R$  4.200
Valor m² R$  30",2,1,0
"SCLRN 705 Bloco H, ASA NORTE, BRASILIA",Aluguel Loja 112 m²,112 m²,"R$  2.999
Valor m² R$  26",0,0,0
